Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
53	646.0232	41.988926	709.37994	589.20056	1000.0	60.269608	6.9541545	85.69693	37.60771	270000	2.0980835e-09	216.8872	-0.011878688	-74.52344	6.307847	0.013455654	0.1904	5.0	650.9375760555267
54	653.6765	48.306595	692.04645	567.98975	1000.0	56.864986	11.116486	81.55091	22.15891	275000	-4.005432e-09	216.28966	-0.04884994	-81.98613	6.244916	0.010415662	0.2642	79.0	664.0169949531555
55	642.2655	87.291435	731.05493	486.7807	1000.0	57.15671	12.857506	86.464615	21.34294	280000	-8.9645384e-09	264.77554	-0.012656069	-109.72739	6.2224164	0.016134	0.1858	5.0	675.8774700164795
56	630.6776	70.389946	702.19037	510.4581	1000.0	60.08199	8.100038	84.05959	28.792086	285000	-5.912781e-09	243.89787	-0.04854996	-115.50403	6.2142634	0.009217543	0.2708	79.0	688.6762692928314
57	638.43304	56.772636	726.19684	561.0167	1000.0	57.89077	14.804504	87.3117	6.0402102	290000	1.1825562e-08	295.99258	-0.030395305	-119.07445	6.1788945	0.016516807	0.196	20.0	701.1657614707947
58	693.65826	55.89931	730.1132	582.28296	983.2	60.978794	6.1839747	86.6147	11.540022	295000	6.2942505e-09	345.93115	-0.02402799	-125.28696	6.109101	0.017124282	0.187	13.0	712.1396102905273
59	577.3118	127.725105	696.1163	336.68558	921.0	58.32575	12.831563	93.10408	-34.780506	300000	2.4795532e-09	206.0399	-0.024834393	-78.94586	6.102482	0.018135028	0.177	11.0	723.8063893318176
60	652.75354	36.72528	684.82434	581.25244	1000.0	61.81985	11.869457	95.57478	18.666756	305000	4.577637e-09	248.7524	-0.05365368	-107.1409	6.1187983	0.010657487	0.247	79.0	736.4881794452667
61	708.3205	68.610435	764.93555	574.9683	1000.0	61.055344	4.78604	75.762474	38.15068	310000	1.6784668e-08	257.00186	-0.008389213	-92.87448	6.055532	0.019931583	0.2486	4.0	748.1548943519592
62	706.8934	48.65016	754.61633	646.66864	1000.0	60.980263	12.468247	87.11147	14.720662	315000	3.528595e-09	241.34274	-0.043085214	-81.72179	6.0814624	0.014995549	0.2224	70.0	761.3311634063721
63	731.1859	20.893385	765.59937	707.9866	1000.0	68.63466	7.066701	89.29576	45.578777	320000	5.340576e-09	217.24385	-0.04553015	-46.97087	6.0576487	0.009440251	0.2502	79.0	774.5252523422241
64	686.5528	60.50359	754.1649	576.92474	1000.0	65.78552	7.4732947	93.41465	33.66517	325000	1.411438e-08	245.9817	-0.019819878	-45.335358	6.0109982	0.015258939	0.227	13.0	786.0155053138733
65	635.05554	79.10096	747.75006	553.041	1000.0	60.90111	7.8564124	86.74662	40.99572	330000	2.193451e-08	257.1894	-0.03546853	-132.60443	5.972798	0.015578559	0.2176	27.0	798.6555283069611
66	696.2345	27.179424	728.0697	652.21704	1000.0	63.28195	7.7536163	87.01259	30.056328	335000	-1.0299683e-08	234.67188	-0.049410664	-77.95897	5.9450927	0.011283949	0.2704	79.0	811.4510886669159
67	718.6372	49.730434	787.9213	640.0467	1000.0	61.058064	8.723822	91.38544	7.938423	340000	-2.4795533e-08	352.97293	-0.045001764	-193.5867	5.85962	0.014569106	0.2378	79.0	824.1970090866089
68	707.9659	103.29299	781.96826	505.9925	1000.0	63.668583	10.329877	84.5982	35.25789	345000	9.727478e-09	267.53656	-0.00898602	-116.81236	5.8450203	0.01406924	0.1562	4.0	836.2589337825775
69	742.0831	43.552444	785.14624	666.13196	1000.0	71.35599	7.759606	106.15916	38.82784	350000	6.866455e-09	302.07654	-0.021707041	-110.59656	5.8742948	0.014397746	0.1928	16.0	848.4172055721283
70	694.8193	59.633907	752.78204	587.896	1000.0	64.077484	10.733602	87.14788	17.7361	355000	-1.2969971e-08	295.45804	-0.024462331	-116.07872	5.896134	0.017523658	0.2756	13.0	860.2714116573334
71	728.389	22.796623	750.17	688.3301	1000.0	64.991196	8.700755	87.3168	22.573185	360000	-7.05719e-09	244.31427	-0.049691003	-94.6651	5.8437886	0.012127566	0.2626	79.0	872.6148438453674
72	692.49866	109.11069	789.9842	513.2062	1000.0	64.97639	9.397896	90.65008	27.641277	365000	2.2125244e-08	297.17166	-0.05535853	-138.51082	5.854324	0.011514488	0.2746	79.0	885.680291891098
73	663.29016	92.54065	743.032	549.87054	1000.0	62.777138	9.759964	93.17993	20.706284	370000	4.9591065e-09	247.6654	-0.026922608	-107.41254	5.829379	0.016191563	0.1938	14.0	898.1845848560333
74	767.38586	24.315966	813.0599	741.6197	1000.0	70.191414	8.589018	87.90382	18.36097	375000	-5.722046e-10	216.07565	-0.049037486	-107.5333	5.8863873	0.010125679	0.2694	79.0	911.2799768447876
75	748.00464	77.75257	802.1767	594.6001	1000.0	62.85814	21.659128	91.634384	6.249125	380000	-1.5068053e-08	352.35486	-0.05177666	-207.69926	5.8573503	0.014082866	0.2484	79.0	924.2679255008698
